Security Policy: KRIS10-PUBFW-Rule	-
-	Host_115.144.73.225
-	Host_222.106.31.116
-	Host_39.117.40.3
-	Host_121.135.196.176
-	Host_182.162.90.225
-	Host_49.1.244.165
-	Host_121.78.127.55
-	Host_121.78.127.71
58	Any
59	Host_203.236.3.239
-	Host_106.245.254.82
-	Host_211.45.56.4
-	Host_210.207.91.178
-	Host_124.66.184.4
-	Host_58.234.166.2
-	Net_58.234.166.0_25
60	Host_124.66.184.4
-	Host_211.45.56.4
-	Host_106.245.254.82
-	Host_203.236.3.239
-	Host_210.207.91.178
-	Host_58.234.166.2
-	Net_58.234.166.0_25
-	Host_211.188.179.106
-	Host_211.188.179.107
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
61	Host_150.206.14.43
-	Host_150.206.14.44
-	Host_150.206.14.21
-	Host_150.206.14.22
-	Host_150.206.14.23
-	Host_150.206.14.24
-	Host_150.206.14.39
-	Host_150.206.14.40
62	Host_124.66.184.4
-	Host_211.45.56.4
-	Host_106.245.254.82
-	Host_58.234.166.2
-	Host_211.188.179.106
-	Host_211.188.179.107
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
63	Host_203.236.33.35
-	Host_203.236.33.36
-	Host_203.236.33.37
64	Host_124.66.184.4
-	Net_1.225.157.0
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
65	Host_124.66.184.4
-	Net_1.225.157.0
-	Host_221.140.136.66
-	Host_221.140.136.67
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
66	Host_203.235.202.118
-	Host_203.235.204.137
-	Host_203.235.204.148
-	Host_203.235.204.140
-	Net_211.173.10.0_25
67	Public_NAT_175.126.208.15_Grp
-	-
-	-
68	Any
-	-
69	Any
-	-
70	Any
71	Any
-	-
-	-
-	-
72	Any
-	-
-	-
73	Any
-	-
-	-
74	Any
-	-
-	-
-	-
75	Any
-	-
-	-
76	Host_172.22.243.34
-	-
77	Any
-	-
78	Any
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
79	Any
80	Host_172.22.204.121
-	L4_172.22.206.48
-	L4_172.22.206.52
-	Host_172.22.204.123
-	Host_172.22.204.124
-	L4_172.22.206.46
-	L4_172.22.206.50
-	L4_172.22.206.51
-	Host_172.22.204.126
-	Host_172.22.204.127
-	Host_172.22.204.128
81	Any
-	-
82	Any
-	-
83	Host_58.120.205.211
-	Host_124.66.184.4
-	Host_112.216.231.234
-	Host_52.68.114.43
-	Host_54.64.39.245
-	Host_125.131.4.76
-	Host_221.140.136.66
84	Any
-	-
85	Host_211.110.43.124
-	Host_211.110.43.125
86	Host_211.140.136.66
-	Host_211.140.136.67
87	Any
-	-
-	-
-	-
-	-
-	-
-	-
88	Any
-	-
-	-
-	-
-	-
-	-
-	-
89	Host_114.207.113.183
-	Host_175.158.12.1
-	Host_203.251.224.131
-	Host_203.251.224.132
-	Host_203.251.224.133
-	Host_203.251.224.134
-	Host_203.251.224.135
-	Host_211.234.113.10
-	Host_211.234.113.11
-	Host_218.50.55.106
-	Host_58.229.121.47
-	Host_58.229.121.48
-	Host_203.236.17.116
-	Host_203.236.17.210
-	Host_211.234.113.28
-	Host_211.234.113.29
-	Host_58.229.121.49
-	Host_54.199.136.107
-	Host_14.49.31.133
-	Host_14.49.31.37
-	Host_211.234.106.48
-	Host_112.216.169.106
-	Host_211.234.106.47
-	Host_118.130.130.44
-	Host_118.130.130.55
90	Any
-	-
-	-
91	Any
-	-
92	Any
93	Host_112.217.18.234
-	Host_112.217.18.235
-	Host_114.205.229.136
-	Host_175.158.12.2
-	Host_203.251.224.131
-	Host_203.251.224.132
-	Host_203.251.224.133
-	Host_203.251.224.134
-	Host_203.251.224.135
-	Host_211.233.134.50
-	Host_211.234.113.30
-	Host_218.38.71.155
-	Host_54.199.136.107
-	Host_14.49.31.15
-	Host_14.49.31.133
-	Host_14.49.31.37
-	Host_14.49.31.5
-	Host_211.234.106.48
-	Host_112.216.169.106
-	Host_118.130.130.57
94	Any
-	-
-	-
-	-
-	-
-	-
-	-
-	-
95	Any
-	-
96	Any
-	-
97	Any
-	-
-	-
98	Public_NAT_175.126.208.83_Grp
-	-
-	-
-	-
-	-
-	-
99	Host_172.22.197.113
-	-
100	Host_172.22.196.125
-	Host_172.22.196.127
-	Host_112.108.7.102
-	Host_112.108.7.103
101	Host_1.225.157.7
-	Host_1.225.157.107
-	Host_124.66.184.4
-	Host_221.140.136.66
-	Host_221.140.136.67
102	Host_172.22.113.56
-	Host_172.22.113.57
-	-
-	-
103	Host_124.66.184.4
-	-
-	-
104	Any
-	-
105	Any
-	-
-	-
106	Any
-	-
107	Any
-	-
-	-
108	Any
109	Host_150.206.11.185
-	-
110	Any
-	-
111	Host_124.66.182.34
-	-
112	Host_14.49.31.133
-	Host_14.49.31.15
-	Host_14.49.31.37
-	Host_14.49.31.5
-	-
-	-
-	-
-	-
-	-
-	-
-	-
113	Any
-	-
-	-
114	Host_172.22.118.167
115	Host_124.66.180.54
-	Host_124.66.184.4
116	Any
-	-
117	Any
118	Any
119	Any
120	Host_121.170.176.182
-	Host_122.35.116.74
-	Host_211.172.244.161
-	Host_122.35.116.71
121	Any
-	-
122	Any
-	-
123	Net_58.234.166.0_25
-	-
-	-
-	-
-	-
-	-
124	Any
-	-
Firewall Request (WAS -> Internet)	-
125	Public_NAT_175.126.208.52_Grp
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
126	Public_NAT_OCB_Outbound_175.126.208.10_Grp
-	-
-	-
-	-
127	Host_172.22.200.89
-	Host_172.22.200.90
-	Host_172.22.200.91
-	Public_NAT_175.126.208.81_Grp
128	Host_172.22.200.71
-	Host_172.22.200.72
-	Host_172.22.200.73
-	Host_172.22.200.77
-	Host_172.22.200.78
-	Host_172.22.200.79
129	Host_172.22.232.31
-	Host_172.22.232.32
-	Host_172.22.232.33
130	Host_172.22.202.161
-	Host_172.22.202.162
-	Host_172.22.202.187
-	Host_172.22.202.188
-	Host_172.22.202.191
-	Host_172.22.202.192
-	Host_172.22.202.201
-	Host_172.22.202.202
131	Host_172.22.200.55
-	Host_172.22.200.56
-	Host_172.22.200.57
-	Host_172.22.200.58
-	Host_172.22.200.61
-	Host_172.22.200.62
-	Host_172.22.200.63
-	Host_172.22.200.64
-	Host_172.22.200.65
-	Host_172.22.200.66
132	Host_172.22.200.166
-	Host_172.22.200.167
133	Public_NAT_175.126.208.37_Grp
-	-
-	-
-	-
134	Public_NAT_OCB_Outbound_175.126.208.10_Grp
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
135	Public_NAT_OCB_Outbound_175.126.208.10_Grp
-	-
-	-
-	-
