Security Policy: KRIS10-PUBFW-Rule	-
-	Host_203.235.206.213
-	Host_203.235.206.215
-	Host_203.235.206.211
-	Host_203.235.200.116
-	Host_203.235.206.141
-	Host_203.235.206.168
-	Host_203.235.206.242
-	Host_203.238.36.173
-	Host_203.238.36.178
-	Host_203.235.206.138
-	Host_203.235.200.28
-	Host_203.235.206.174
-	Host_203.238.36.136
-	Host_203.238.36.139
-	Host_203.235.207.132
-	Host_203.235.206.46
-	Host_203.235.206.44
-	Host_203.235.200.11
-	Host_203.235.200.176
137	Any
-	-
-	-
-	-
138	Any
-	-
-	-
139	Host_203.235.206.213
-	-
-	-
-	-
-	-
140	Host_1.234.67.10
-	Host_1.234.67.38
-	Host_1.234.67.80
-	Host_218.39.66.33
-	Host_220.103.231.33
-	Host_220.103.231.31
-	-
-	-
141	Host_211.170.89.4
-	Host_211.233.64.165
-	Host_211.45.35.7
-	PhoneBill_Grp
-	Host_211.45.45.30
-	Host_211.218.41.101
-	Host_211.110.43.42
-	Host_211.189.77.133
-	Host_211.233.74.23
-	Host_211.58.255.53
-	Host_211.110.118.152
-	Host_211.45.55.21
-	Host_211.110.118.23
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
142	Host_211.45.45.30
-	-
143	Host_211.234.232.24
-	Host_74.125.235.64
-	Host_74.125.235.65
-	Host_74.125.235.66
-	Host_74.125.235.67
-	Host_74.125.235.68
-	Host_74.125.235.69
-	Host_74.125.235.70
-	Host_74.125.235.71
-	Host_74.125.235.72
-	Host_74.125.235.73
144	Host_220.103.245.80
-	Host_220.103.232.25
-	Host_54.251.117.177
145	Host_173.194.117.160
-	Host_173.194.117.161
-	Host_173.194.117.162
-	Host_173.194.117.163
-	Host_173.194.117.164
-	Host_173.194.117.165
-	Host_173.194.117.166
-	Host_173.194.117.167
-	Host_173.194.117.168
-	Host_173.194.117.169
-	Host_173.194.117.174
-	Host_74.125.235.64
-	Host_74.125.235.65
-	Host_74.125.235.66
-	Host_74.125.235.67
-	Host_74.125.235.68
-	Host_74.125.235.69
-	Host_74.125.235.70
-	Host_74.125.235.71
-	Host_74.125.235.72
-	Host_74.125.235.73
-	Host_216.58.221.46
146	Host_210.207.91.178
-	Host_211.110.19.228
-	Host_211.110.19.229
-	Host_211.110.118.148
-	Host_203.238.37.16
-	Host_203.238.37.25
-	Host_203.238.37.48
-	Host_211.219.96.180
-	Host_211.219.96.181
-	Host_211.219.96.182
-	Host_211.219.96.183
-	Host_203.238.37.3
-	Host_203.235.206.211
147	Host_121.156.120.131
-	Host_121.156.120.177
-	Host_211.237.78.64
-	Host_211.237.78.65
-	Host_112.216.24.85
148	Host_121.156.120.177
149	Host_1.234.67.10
-	Host_211.234.235.70
-	-
-	-
-	-
150	Host_1.234.68.108
-	Host_121.170.176.182
-	Host_122.35.116.74
-	Host_211.172.244.161
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
151	Host_17.110.225.34
-	Host_17.110.227.100
-	Host_173.194.72.95
152	Host_211.33.88.246
-	Host_211.33.88.67
-	Host_211.33.88.69
-	Host_211.33.88.245
-	Host_211.33.88.66
-	Host_211.33.88.68
-	Host_118.129.210.57
-	Host_211.219.96.166
-	-
-	-
153	Net_23.20.0.0_14
-	Net_107.0.0.0
-	Net_52.0.0.0
-	Net_54.0.0.0
154	Host_203.238.36.136
-	-
155	Any
-	-
156	Any
-	-
157	Host_119.207.70.221
-	Host_203.236.31.4
-	Host_119.207.70.160
-	Host_211.59.10.131
-	Host_222.122.229.246
